Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,police_killing
48896,10.7,88.7,80.6,15.3,0.3,0.9,2.7,1.0
35000,7.0,72.5,85.4,13.8,0.0,0.0,3.1,0.0
51196,0.0,79.1,98.8,0.0,0.5,0.0,0.7,0.0
32000,21.7,80.2,79.7,16.1,1.7,1.7,2.0,0.0
27000,26.2,67.2,99.1,0.0,0.0,0.5,2.7,0.0
35313,18.3,78.3,95.7,2.0,0.6,0.6,4.6,0.0
56458,1.9,83.7,98.9,0.0,1.1,0.0,0.0,0.0
18750,35.0,74.6,31.7,67.2,0.0,0.0,2.2,0.0
41066,20.9,79.8,70.1,21.0,5.5,0.5,2.5,0.0
44224,14.8,84.3,93.7,0.2,2.5,0.3,1.4,0.0
59653,0.0,86.9,88.5,6.7,1.4,0.2,4.4,0.0
42143,9.6,82.1,85.8,12.5,0.4,0.0,0.8,0.0
41198,17.7,82.3,83.6,13.0,0.7,0.5,1.5,0.0
36429,27.9,84.0,95.0,0.2,0.3,0.0,4.2,0.0
31172,21.0,73.0,53.4,40.1,0.0,0.0,8.3,0.0
24097,22.4,71.3,2.4,96.7,0.0,0.0,0.0,0.0
39750,11.7,75.6,49.7,46.2,4.1,0.0,0.0,0.0
53650,13.7,90.2,68.4,26.9,0.3,1.1,4.1,0.0
37273,29.5,80.7,65.0,33.3,0.1,0.1,0.8,0.0
40972,13.1,73.0,91.3,7.0,0.0,0.8,1.1,0.0
40469,21.4,72.2,80.9,18.4,0.1,0.0,0.1,0.0
51518,16.2,76.4,94.2,2.3,0.3,0.7,2.1,0.0
51688,14.8,82.0,94.1,3.2,0.6,0.0,0.6,0.0
36852,12.8,73.9,84.1,6.0,0.5,0.5,15.9,0.0
22917,23.4,60.5,95.7,0.0,0.0,0.0,0.0,0.0
40489,23.0,83.7,50.6,43.5,0.3,1.7,4.4,1.0
34695,25.9,77.4,80.9,16.7,0.6,0.3,0.9,1.0
57535,10.5,92.6,94.3,0.6,0.7,0.8,2.6,0.0
16250,37.3,71.4,37.7,62.3,0.0,0.0,0.0,0.0
38125,0.0,78.6,85.5,12.8,1.4,0.0,0.5,0.0
51750,9.5,86.7,91.5,3.6,1.0,0.3,2.2,0.0
51375,11.7,83.5,80.5,12.6,0.4,1.1,6.6,1.0
37813,23.1,82.5,64.8,30.2,0.7,0.9,3.2,0.0
23036,35.6,77.5,92.4,1.0,1.9,0.0,0.0,0.0
29335,15.8,75.3,70.6,26.0,0.5,0.5,0.5,0.0
67907,4.6,92.2,81.2,7.5,0.3,2.4,14.9,0.0
41944,20.8,86.5,80.8,15.6,0.3,0.8,2.3,0.0
30417,30.9,51.2,69.7,24.9,0.0,0.0,4.5,0.0
47222,17.7,86.3,96.2,0.2,0.2,0.2,2.1,0.0
28009,14.2,97.2,86.5,9.0,1.1,0.0,0.0,0.0
38750,0.0,86.5,91.4,8.6,0.0,0.0,0.0,0.0
36698,21.0,84.8,48.7,46.6,0.3,0.7,4.0,1.0
25852,34.4,78.5,95.2,0.2,0.4,0.0,4.0,0.0
31607,22.4,70.0,36.2,63.5,0.3,0.0,0.0,0.0
28884,25.6,76.8,87.0,10.0,0.5,0.1,1.3,1.0
97500,2.3,95.8,68.5,28.7,0.1,1.4,1.3,0.0
31042,13.0,88.6,83.8,12.7,0.6,0.5,1.7,0.0
46250,21.0,81.5,73.5,24.2,0.8,0.8,0.0,0.0
30682,48.5,89.1,45.8,53.2,0.4,0.1,0.7,0.0
